No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-05.tif;1882;93.094049;749.543039;45.431187;58.824611;2.048418;1.294807;0.772316;0.692487;494.000000;0.635239;220.102000;160.022317;128;191
2;M-11897-x40-05.tif;392;173.545918;327.007653;18.023487;29.317930;1.246756;1.626651;0.614760;0.580670;49.000000;0.788714;78.368000;161.081633;138;192
3;M-11897-x40-05.tif;4908;277.876121;416.307253;58.009482;117.332105;1.922731;2.022637;0.494404;0.453922;834.000000;0.869232;344.363000;129.142013;35;211
4;M-11897-x40-05.tif;1407;256.589197;338.258706;33.220916;59.257907;1.485011;1.783753;0.560616;0.510166;170.000000;0.828076;162.038000;119.176262;59;217
5;M-11897-x40-05.tif;619;358.596123;248.365105;25.313614;31.574532;1.052737;1.247334;0.801710;0.790546;26.000000;0.597713;90.492000;155.182553;129;194
6;M-11897-x40-05.tif;2545;399.160707;370.429862;51.539570;71.344191;1.921799;1.384261;0.722407;0.636621;626.000000;0.691468;247.915000;134.193320;85;195
7;M-11897-x40-05.tif;694;519.795389;740.691643;24.312808;36.791527;1.089967;1.513257;0.660826;0.652791;22.000000;0.750539;97.497000;160.448127;136;203
8;M-11897-x40-05.tif;1728;635.152199;470.302083;39.730139;55.757828;1.048511;1.403414;0.712548;0.707689;45.000000;0.701623;150.891000;117.905093;72;218
9;M-11897-x40-05.tif;1508;651.202918;424.415119;38.599133;50.326146;1.053161;1.303815;0.766980;0.758096;47.000000;0.641671;141.271000;116.784483;54;193
10;M-11897-x40-05.tif;1638;663.993895;386.296093;33.792831;62.441232;1.151051;1.847766;0.541194;0.534910;46.000000;0.840898;153.925000;121.481074;37;215
11;M-11897-x40-05.tif;2699;682.117080;499.725454;55.126588;62.873896;1.051262;1.140537;0.876780;0.869305;75.000000;0.480891;188.826000;114.721378;24;232
12;M-11897-x40-05.tif;3612;717.752215;426.566722;56.285046;82.672223;1.073671;1.468813;0.680822;0.672882;106.000000;0.732449;220.757000;126.745570;66;212
13;M-11897-x40-05.tif;850;698.148235;620.580000;32.471356;33.438164;0.963875;1.029774;0.971087;0.967931;19.000000;0.238727;101.467000;105.988235;16;222
