No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-04.tif;1552;507.498711;344.911082;43.479972;56.007650;1.990969;1.288125;0.776322;0.629952;370.000000;0.630337;197.053000;0.564023;1.476489e-01;7.499750e-01
2;M-11897-x40-04.tif;1281;654.136612;265.233411;35.843979;49.089411;1.286968;1.369530;0.730177;0.676836;139.000000;0.683258;143.934000;0.612027;-2.127201e-01;9.561865e-01
3;M-11897-x40-04.tif;1326;685.594268;347.545249;31.533092;54.187643;1.185552;1.718437;0.581924;0.574981;71.000000;0.813243;140.552000;0.645102;2.565172e-02;9.219643e-01
4;M-11897-x40-04.tif;1503;704.263473;309.180306;37.533316;55.042461;1.354903;1.466496;0.681897;0.631646;177.000000;0.731448;159.970000;0.593177;-1.142716e-01;9.105726e-01
5;M-11897-x40-04.tif;1576;722.607234;244.982234;32.549234;64.093995;1.411701;1.969140;0.507836;0.488463;151.000000;0.861454;167.207000;0.587321;-1.807906e-01;8.704855e-01
6;M-11897-x40-04.tif;1935;733.768475;397.341602;38.350050;65.462111;1.444301;1.706963;0.585836;0.574925;107.000000;0.810430;187.402000;0.576307;-2.991061e-01;8.509803e-01
7;M-11897-x40-04.tif;1374;758.569141;276.474527;40.826875;43.184880;1.053108;1.057756;0.945397;0.938066;60.000000;0.325920;134.845000;0.630699;-2.460999e-01;8.861796e-01
8;M-11897-x40-04.tif;1785;759.400000;325.374790;43.980218;52.299446;1.113179;1.189158;0.840931;0.830910;74.000000;0.541143;158.018000;0.585029;-1.503609e-01;7.973240e-01
9;M-11897-x40-04.tif;1310;781.878626;228.926718;29.637513;57.647251;1.239177;1.945077;0.514118;0.501908;75.000000;0.857719;142.826000;0.634418;-2.171948e-01;8.683191e-01
10;M-11897-x40-04.tif;1838;796.952122;391.254625;38.987665;61.238334;1.440279;1.570710;0.636655;0.624035;137.000000;0.771149;182.390000;0.562114;-8.596498e-02;7.608636e-01
11;M-11897-x40-04.tif;1247;803.333601;295.161187;38.571964;42.903226;1.355368;1.112290;0.899046;0.862575;137.000000;0.437855;145.736000;0.619966;-1.539573e-03;8.797944e-01
12;M-11897-x40-04.tif;1492;848.458445;414.503351;41.520231;45.849695;0.969115;1.104274;0.905573;0.903662;24.000000;0.424191;134.796000;0.615462;-2.896742e-01;9.195970e-01
13;M-11897-x40-04.tif;1531;1150.269758;59.201829;38.082442;56.139460;1.693851;1.474156;0.678354;0.618513;223.000000;0.734735;180.522000;0.602780;-2.476383e-02;8.780018e-01
14;M-11897-x40-04.tif;820;1201.564634;198.559756;29.407944;35.918586;1.040964;1.221391;0.818739;0.809255;27.000000;0.574166;103.569000;0.571904;1.229918e-01;7.001357e-01
15;M-11897-x40-04.tif;328;1193.320122;169.466463;14.248265;33.495480;1.512125;2.350846;0.425379;0.372230;56.000000;0.905015;78.947000;0.552317;3.678039e-01;6.767848e-01
16;M-11897-x40-04.tif;2173;1254.150483;228.034975;32.815047;88.218976;1.798186;2.688370;0.371973;0.355505;261.000000;0.928244;221.591000;0.626503;1.483319e-01;8.090396e-01
17;M-11897-x40-04.tif;555;1355.789189;248.277477;18.930222;38.692774;1.361803;2.043968;0.489244;0.472001;58.000000;0.872147;97.456000;0.528605;9.676973e-02;6.864121e-01
18;M-11897-x40-04.tif;675;1393.977778;248.840000;24.057422;37.435247;1.268587;1.556079;0.642641;0.613271;70.000000;0.766168;103.733000;0.582953;-1.254441e-03;7.577992e-01
