No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.tif;3536;323.251414;218.774604;59.474894;77.599128;1.263387;1.304738;0.766438;0.747668;286.000000;0.642319;236.935000;0.375724;1.913855e-01;6.241472e-01
2;M-11811a-x40-10.tif;3467;369.364292;248.276896;57.969546;79.487526;1.172785;1.371195;0.729291;0.698660;166.000000;0.684204;226.043000;0.360660;2.216124e-01;7.973738e-01
3;M-11811a-x40-10.tif;3001;372.801066;141.725092;47.026436;81.794496;1.141436;1.739330;0.574934;0.571121;81.000000;0.818200;207.474000;0.371343;1.991628e-01;8.539620e-01
4;M-11811a-x40-10.tif;3474;431.710708;211.832470;53.720940;83.060796;1.120340;1.546153;0.646766;0.641132;93.000000;0.762688;221.154000;0.373789;2.245513e-01;7.957348e-01
5;M-11811a-x40-10.tif;3340;432.166766;283.169461;58.393407;73.198646;1.047619;1.253543;0.797739;0.793689;94.000000;0.603003;209.691000;0.363608;1.582228e-01;7.972733e-01
6;M-11811a-x40-10.tif;3307;454.677049;351.447233;57.398102;74.801174;1.075756;1.303199;0.767342;0.752536;86.000000;0.641238;211.436000;0.360084;1.614579e-01;7.435241e-01
7;M-11811a-x40-10.tif;1057;497.951750;296.188269;26.595105;62.980559;2.848241;2.368126;0.422275;0.339291;410.000000;0.906468;194.505000;0.450635;2.884051e-01;8.304160e-01
8;M-11811a-x40-10.tif;3295;507.076480;59.915933;52.365664;80.393009;1.062929;1.535224;0.651371;0.649126;74.000000;0.758760;209.790000;0.356503;2.166518e-01;6.631832e-01
9;M-11811a-x40-10.tif;1748;511.885011;352.737986;33.493823;89.286448;3.861771;2.665759;0.375128;0.279178;625.000000;0.926973;291.252000;0.374477;8.950637e-02;1.203652e+00
10;M-11811a-x40-10.tif;3751;547.413223;199.709144;65.359635;73.248252;1.055606;1.120696;0.892303;0.890149;107.000000;0.451437;223.064000;0.371747;2.090626e-01;7.761892e-01
11;M-11811a-x40-10.tif;1024;564.223633;283.221680;26.631845;64.649875;2.143997;2.427540;0.411940;0.311943;318.000000;0.911211;166.099000;0.425201;1.946805e-01;1.084452e+00
12;M-11811a-x40-10.tif;4793;587.306906;58.161903;71.971766;85.263650;1.173453;1.184682;0.844108;0.839440;228.000000;0.536172;265.853000;0.396569;2.223262e-01;7.236018e-01
13;M-11811a-x40-10.tif;925;610.297297;795.025946;27.215697;43.509881;1.060965;1.598705;0.625506;0.622123;28.000000;0.780219;111.052000;0.367660;2.065049e-01;1.171364e+00
14;M-11811a-x40-10.tif;3452;677.219003;67.901506;59.605879;74.643582;1.138202;1.252286;0.798540;0.788853;153.000000;0.601942;222.203000;0.395815;2.524282e-01;7.430824e-01
15;M-11811a-x40-10.tif;3458;718.341527;146.750434;61.209762;75.317754;1.428029;1.230486;0.812687;0.776141;327.000000;0.582700;249.107000;0.397360;2.249488e-01;6.319370e-01
16;M-11811a-x40-10.tif;3682;849.755296;641.641499;55.179789;85.973766;1.157756;1.558066;0.641821;0.634252;132.000000;0.766854;231.449000;0.387783;2.445943e-01;8.645842e-01
17;M-11811a-x40-10.tif;1619;850.599753;739.289067;38.196131;54.894070;1.299924;1.437163;0.695815;0.684079;106.000000;0.718221;162.625000;0.401655;2.287711e-01;5.813617e-01
18;M-11811a-x40-10.tif;3784;883.545983;570.688689;55.948679;91.834319;1.529670;1.641403;0.609235;0.571283;486.000000;0.792990;269.699000;0.389471;1.759797e-01;9.073054e-01
19;M-11811a-x40-10.tif;3713;978.393752;714.009426;56.477794;90.403638;1.540340;1.600694;0.624729;0.578447;499.000000;0.780841;268.087000;0.393872;2.219618e-01;7.432180e-01
20;M-11811a-x40-10.tif;1058;957.864839;563.202268;27.286395;50.249664;1.271446;1.841565;0.543016;0.533494;73.000000;0.839722;130.016000;0.319948;8.845333e-02;7.153343e-01
21;M-11811a-x40-10.tif;5671;1021.264680;633.839358;84.214844;104.120045;2.633343;1.236362;0.808824;0.666041;2125.000000;0.588050;433.200000;0.333060;1.423739e-01;1.002048e+00
22;M-11811a-x40-10.tif;3536;1129.863688;677.968609;54.021479;127.948137;3.711909;2.368468;0.422214;0.275014;2335.000000;0.906496;406.125000;0.389780;8.499785e-02;1.166432e+00
23;M-11811a-x40-10.tif;3572;1158.998320;580.435330;58.502905;79.764384;1.265424;1.363426;0.733446;0.714831;211.000000;0.679747;238.330000;0.358208;1.568892e-01;7.418525e-01
24;M-11811a-x40-10.tif;368;1144.725543;636.290761;21.184337;23.028008;1.124619;1.087030;0.919938;0.883579;17.000000;0.392064;72.116000;0.439375;3.159209e-01;6.273105e-01
25;M-11811a-x40-10.tif;2460;1231.931707;613.278862;46.792251;75.553904;2.065888;1.614667;0.619323;0.548696;536.000000;0.785137;252.712000;0.332966;1.000502e-01;1.162451e+00
26;M-11811a-x40-10.tif;1017;1228.792527;547.562439;29.391106;44.853151;1.059167;1.526079;0.655274;0.643643;30.000000;0.755391;116.345000;0.332618;1.188937e-01;1.147609e+00
27;M-11811a-x40-10.tif;4133;1463.749819;541.968304;57.926429;91.495135;1.291150;1.579506;0.633109;0.628607;248.000000;0.774062;258.956000;0.357407;1.732044e-01;8.051606e-01
