No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11806-x40-01.tif;312;526.573718;496.233974;14.732773;30.864185;1.474910;2.094934;0.477342;0.417018;57.000000;0.878718;76.044000;147.538462;129;169
2;M-11806-x40-01.tif;2391;590.045169;162.860728;37.589445;87.096694;2.024461;2.317052;0.431583;0.401316;384.000000;0.902073;246.632000;160.890841;130;182
3;M-11806-x40-01.tif;455;574.639560;238.470330;13.725407;59.693818;2.749515;4.349147;0.229930;0.162578;205.000000;0.973207;125.383000;147.125275;129;162
4;M-11806-x40-01.tif;4047;632.917470;235.515691;66.077026;79.163223;1.246322;1.198045;0.834693;0.822236;238.000000;0.550715;251.760000;161.004942;127;179
5;M-11806-x40-01.tif;500;621.688000;638.330000;25.215198;29.163411;1.715301;1.156581;0.864618;0.748520;85.000000;0.502431;103.815000;155.422000;130;191
6;M-11806-x40-01.tif;556;648.399281;804.836331;10.561486;74.459191;3.369183;7.050068;0.141843;0.127687;185.000000;0.989889;153.428000;150.034173;135;168
7;M-11806-x40-01.tif;342;695.514620;269.991228;13.878751;35.292697;1.647599;2.542930;0.393247;0.349596;50.000000;0.919433;84.148000;142.941520;128;168
8;M-11806-x40-01.tif;1571;709.765754;436.208784;37.148250;54.920127;1.194969;1.478404;0.676405;0.663167;83.000000;0.736530;153.593000;161.817314;130;183
9;M-11806-x40-01.tif;419;724.821002;204.214797;17.988589;50.735904;2.944554;2.820449;0.354553;0.207249;330.000000;0.935036;124.515000;145.410501;130;169
10;M-11806-x40-01.tif;509;774.060904;683.104126;19.617232;50.665617;2.675433;2.582710;0.387190;0.252465;284.000000;0.922000;130.816000;145.624754;129;162
11;M-11806-x40-01.tif;554;764.209386;341.835740;12.782131;67.765782;3.159777;5.301603;0.188622;0.153603;181.000000;0.982050;148.316000;147.398917;130;170
12;M-11806-x40-01.tif;410;859.409756;228.343902;11.303287;55.226026;2.817273;4.885838;0.204673;0.171162;168.000000;0.978830;120.479000;155.329268;145;166
13;M-11806-x40-01.tif;2642;1043.762301;367.233157;53.054796;64.860776;1.168874;1.222524;0.817980;0.799611;128.000000;0.575247;196.995000;161.686223;129;182
14;M-11806-x40-01.tif;4303;1119.895189;716.874041;58.446822;98.430345;1.461938;1.684101;0.593789;0.565488;431.000000;0.804621;281.161000;160.393214;125;187
15;M-11806-x40-01.tif;2691;1111.509476;478.853586;53.266882;65.885038;1.335058;1.236886;0.808482;0.789315;170.000000;0.588521;212.477000;159.720922;127;186
16;M-11806-x40-01.tif;3453;1128.877787;381.843614;54.507488;81.740472;1.304030;1.499619;0.666836;0.658010;177.000000;0.745205;237.874000;161.405155;129;175
17;M-11806-x40-01.tif;318;1172.883648;252.830189;19.567781;22.363972;1.407057;1.142898;0.874969;0.809542;32.000000;0.484179;74.985000;145.088050;128;175
18;M-11806-x40-01.tif;619;1224.570275;233.195477;19.225852;62.153911;2.552167;3.232830;0.309326;0.204016;293.000000;0.950956;140.898000;141.130856;128;167
19;M-11806-x40-01.tif;1276;1438.599530;755.710815;35.836882;47.386336;1.370657;1.322278;0.756270;0.723527;110.000000;0.654259;148.250000;154.518809;124;189
